model,weather_type,intensity,condition,n_images,runtime_seconds,map_50,map_50_95,degradation_pct,pedestrian,rider,car,truck,bus,train,motorcycle,bicycle,traffic light,traffic sign
yolov8m,clean,n/a,clean,10000,1666.4,0.2893,0.1703,0.00,0.2599,0.0000,0.3682,0.2938,0.3123,0.0096,0.1796,0.1646,0.0922,0.0224
yolov8m,fog,heavy,fog_heavy,10000,2526.8,0.2102,0.1233,27.34,0.1760,0.0000,0.3007,0.2306,0.2405,0.0004,0.0923,0.1160,0.0590,0.0170
yolov8m,fog,light,fog_light,10000,2636.7,0.2813,0.1657,2.77,0.2518,0.0000,0.3591,0.2880,0.3062,0.0055,0.1689,0.1640,0.0912,0.0227
yolov8m,fog,medium,fog_medium,10000,2520.6,0.2601,0.1515,10.09,0.2274,0.0000,0.3396,0.2697,0.2831,0.0024,0.1439,0.1440,0.0841,0.0212
yolov8m,motion_blur,heavy,motion_blur_heavy,10000,2136.4,0.0804,0.0484,72.21,0.0372,0.0000,0.1824,0.0818,0.1397,0.0002,0.0098,0.0183,0.0073,0.0076
yolov8m,motion_blur,light,motion_blur_light,10000,2053.4,0.2158,0.1304,25.41,0.1770,0.0000,0.3206,0.2456,0.2712,0.0025,0.1109,0.0982,0.0616,0.0165
yolov8m,motion_blur,medium,motion_blur_medium,10000,2058.9,0.1398,0.0843,51.68,0.0899,0.0000,0.2530,0.1629,0.2120,0.0007,0.0437,0.0441,0.0249,0.0114
yolov8m,night,heavy,night_heavy,10000,2211.7,0.0139,0.0088,95.20,0.0083,0.0000,0.0276,0.0123,0.0164,0.0000,0.0005,0.0059,0.0104,0.0070
yolov8m,night,light,night_light,10000,2253.9,0.2667,0.1574,7.81,0.2332,0.0000,0.3482,0.2792,0.3024,0.0051,0.1517,0.1455,0.0860,0.0231
yolov8m,night,medium,night_medium,10000,2299.1,0.1577,0.0938,45.49,0.1185,0.0000,0.2425,0.1770,0.2069,0.0003,0.0648,0.0646,0.0480,0.0156
yolov8m,rain,heavy,rain_heavy,10000,1907.3,0.0840,0.0454,70.96,0.0785,0.0000,0.1575,0.0663,0.0741,0.0002,0.0118,0.0236,0.0309,0.0110
yolov8m,rain,light,rain_light,10000,1756.1,0.2006,0.1153,30.66,0.1806,0.0000,0.2826,0.2112,0.2147,0.0012,0.0802,0.1002,0.0668,0.0157
yolov8m,rain,medium,rain_medium,10000,1769.1,0.1473,0.0835,49.08,0.1332,0.0000,0.2306,0.1488,0.1664,0.0012,0.0361,0.0522,0.0514,0.0157
yolov8n,clean,n/a,clean,10000,565.3,0.1773,0.1032,0.00,0.1755,0.0000,0.2792,0.1729,0.2071,0.0010,0.0674,0.0735,0.0389,0.0169
yolov8n,fog,heavy,fog_heavy,10000,1522.9,0.0791,0.0463,55.39,0.0710,0.0000,0.1657,0.0780,0.0804,0.0000,0.0152,0.0241,0.0164,0.0127
yolov8n,fog,light,fog_light,10000,1553.7,0.1605,0.0933,9.48,0.1572,0.0000,0.2590,0.1621,0.1915,0.0010,0.0473,0.0645,0.0333,0.0174
yolov8n,fog,medium,fog_medium,10000,1546.0,0.1292,0.0756,27.13,0.1208,0.0000,0.2254,0.1321,0.1558,0.0001,0.0327,0.0463,0.0267,0.0163
yolov8n,motion_blur,heavy,motion_blur_heavy,10000,1061.9,0.0411,0.0239,76.82,0.0227,0.0000,0.1152,0.0207,0.0602,0.0000,0.0054,0.0054,0.0027,0.0071
yolov8n,motion_blur,light,motion_blur_light,10000,980.2,0.1307,0.0783,26.28,0.1172,0.0000,0.2412,0.1308,0.1749,0.0002,0.0406,0.0401,0.0251,0.0130
yolov8n,motion_blur,medium,motion_blur_medium,10000,992.5,0.0762,0.0449,57.02,0.0569,0.0000,0.1740,0.0572,0.1088,0.0000,0.0178,0.0131,0.0123,0.0085
yolov8n,night,heavy,night_heavy,10000,1142.5,0.0034,0.0022,98.08,0.0071,0.0000,0.0100,0.0003,0.0000,0.0000,0.0000,0.0000,0.0051,0.0000
yolov8n,night,light,night_light,10000,1259.9,0.1603,0.0934,9.59,0.1514,0.0000,0.2567,0.1569,0.1918,0.0006,0.0627,0.0643,0.0349,0.0146
yolov8n,night,medium,night_medium,10000,1304.0,0.0826,0.0472,53.41,0.0705,0.0000,0.1585,0.0775,0.0919,0.0005,0.0197,0.0262,0.0188,0.0084
yolov8n,rain,heavy,rain_heavy,10000,739.4,0.0318,0.0163,82.06,0.0321,0.0000,0.0615,0.0198,0.0145,0.0000,0.0064,0.0062,0.0131,0.0090
yolov8n,rain,light,rain_light,10000,754.3,0.1110,0.0621,37.39,0.1166,0.0000,0.1873,0.1034,0.1086,0.0001,0.0239,0.0374,0.0315,0.0126
yolov8n,rain,medium,rain_medium,10000,725.7,0.0728,0.0392,58.94,0.0788,0.0000,0.1261,0.0563,0.0659,0.0001,0.0085,0.0221,0.0213,0.0127
yolov8s,clean,n/a,clean,10000,968.6,0.2387,0.1388,0.00,0.2213,0.0000,0.3315,0.2361,0.2675,0.0070,0.1191,0.1147,0.0714,0.0196
yolov8s,fog,heavy,fog_heavy,10000,1845.4,0.1155,0.0688,51.61,0.1005,0.0000,0.2141,0.1182,0.1423,0.0001,0.0241,0.0422,0.0323,0.0144
yolov8s,fog,light,fog_light,10000,1885.2,0.2192,0.1271,8.17,0.2023,0.0000,0.3102,0.2203,0.2434,0.0029,0.1008,0.1050,0.0670,0.0189
yolov8s,fog,medium,fog_medium,10000,1851.8,0.1807,0.1047,24.30,0.1614,0.0000,0.2742,0.1810,0.1992,0.0063,0.0664,0.0843,0.0560,0.0184
yolov8s,motion_blur,heavy,motion_blur_heavy,10000,1381.7,0.0604,0.0360,74.70,0.0294,0.0000,0.1511,0.0402,0.1071,0.0000,0.0078,0.0110,0.0057,0.0076
yolov8s,motion_blur,light,motion_blur_light,10000,1304.9,0.1777,0.1054,25.56,0.1437,0.0000,0.2817,0.1846,0.2354,0.0013,0.0732,0.0663,0.0519,0.0156
yolov8s,motion_blur,medium,motion_blur_medium,10000,1328.1,0.1061,0.0638,55.55,0.0694,0.0000,0.2100,0.1053,0.1701,0.0002,0.0255,0.0250,0.0225,0.0104
yolov8s,night,heavy,night_heavy,10000,1482.9,0.0075,0.0053,96.86,0.0090,0.0000,0.0144,0.0027,0.0112,0.0000,0.0000,0.0000,0.0079,0.0081
yolov8s,night,light,night_light,10000,1586.4,0.2168,0.1262,9.17,0.1945,0.0000,0.3059,0.2111,0.2500,0.0044,0.1078,0.1049,0.0654,0.0179
yolov8s,night,medium,night_medium,10000,1579.9,0.1198,0.0693,49.81,0.0957,0.0000,0.1989,0.1230,0.1446,0.0006,0.0379,0.0440,0.0363,0.0121
yolov8s,rain,heavy,rain_heavy,10000,1017.4,0.0528,0.0274,77.88,0.0530,0.0000,0.1017,0.0402,0.0316,0.0001,0.0056,0.0142,0.0200,0.0079
yolov8s,rain,light,rain_light,10000,1039.0,0.1558,0.0885,34.73,0.1539,0.0000,0.2384,0.1584,0.1586,0.0044,0.0352,0.0726,0.0501,0.0131
yolov8s,rain,medium,rain_medium,10000,1044.4,0.1050,0.0576,56.01,0.1046,0.0000,0.1732,0.0946,0.0962,0.0002,0.0226,0.0365,0.0359,0.0116
